date,lat,lon,magnitude,location
2014-03-31,35.9158,-97.2166,3.1,"4km SE of Langston
2014-03-31,35.9068,-97.2507,2.9,"4km S of Langston
2014-03-31,36.1078,-97.0468,2.5,"1km SE of Stillwater
2014-03-31,36.1138,-97.0343,2.3,"2km E of Stillwater
2014-03-31,36.08,-97.541,2.5,"14km NNE of Crescent
2014-03-31,35.794,-96.978,3.2,"13km NW of Chandler
2014-03-31,35.795,-96.974,2.7,"13km NW of Chandler
2014-03-31,36.8045,-97.5494,2.7,"16km E of Medford
2014-03-30,36.125,-97.64,4.1,"19km NNW of Crescent
2014-03-30,36.13,-97.636,3.4,"20km N of Crescent
2014-03-30,36.121,-97.642,2.6,"19km NNW of Crescent
2014-03-30,36.127,-97.639,2.9,"19km NNW of Crescent
2014-03-30,36.1404,-97.6162,4.3,"20km N of Crescent
2014-03-30,36.1293,-97.6432,3.6,"20km NNW of Crescent
2014-03-30,36.1425,-97.6175,3.5,"21km N of Crescent
2014-03-30,36.1223,-97.6354,3.3,"19km N of Crescent
2014-03-30,36.1418,-97.5916,4.3,"21km N of Crescent
2014-03-30,36.1447,-97.6182,3.5,"21km N of Crescent
2014-03-30,35.4968,-97.2335,2.6,"3km E of Choctaw
2014-03-30,36.1453,-97.6252,3.5,"21km N of Crescent
2014-03-30,35.4979,-97.224,3.7,"4km E of Choctaw
2014-03-29,35.494,-97.249,2.7,"1km ESE of Choctaw
2014-03-29,35.493,-97.246,2.7,"2km ESE of Choctaw
2014-03-29,35.4849,-97.2514,2.4,"2km SE of Choctaw
2014-03-29,35.4924,-97.243,2.9,"2km ESE of Choctaw
2014-03-29,35.558,-97.228,2.5,"5km E of Jones
2014-03-29,35.491,-97.241,3.1,"2km ESE of Choctaw
2014-03-28,36.1689,-96.9749,3.2,"9km NE of Stillwater
2014-03-28,36.135,-97.631,2.8,"20km N of Crescent
2014-03-28,36.135,-97.624,3.1,"20km N of Crescent
2014-03-28,35.67,-97.407,2.4,"6km ENE of Edmond
2014-03-28,35.4965,-97.3065,2.5,"1km ENE of Nicoma Park
2014-03-28,36.292,-96.972,2.7,"15km WSW of Pawnee
2014-03-27,35.897,-97.286,3.2,"6km SSW of Langston
2014-03-26,35.8941,-97.2911,2.7,"6km SSW of Langston
2014-03-25,34.838,-96.096,2.6,"31km WSW of McAlester
2014-03-25,35.7427,-97.5558,3.2,"12km NW of Edmond
2014-03-25,36.9266,-97.662,2.6,"12km SSW of Caldwell
2014-03-24,35.769,-96.652,3,"2km NNE of Stroud
2014-03-24,35.886,-97.288,2.6,"7km SSW of Langston
2014-03-24,36.81,-97.612,2.7,"10km E of Medford
2014-03-23,36.642,-97.66,2.7,"19km SSE of Medford
2014-03-22,36.8124,-97.5915,3.3,"12km E of Medford
2014-03-22,36.6995,-97.7096,2.8,"12km S of Medford
2014-03-22,36.638,-97.661,3,"19km SSE of Medford
2014-03-22,35.88,-97.289,2.5,"7km SSW of Langston
2014-03-22,36.144,-96.966,2.8,"8km ENE of Stillwater
2014-03-22,35.9085,-97.2777,2.7,"4km SSW of Langston
2014-03-22,35.888,-97.299,3.9,"7km SSW of Langston
2014-03-22,35.888,-97.29,3.1,"7km SSW of Langston
2014-03-22,35.892,-97.279,3,"6km SSW of Langston
2014-03-22,35.889,-97.279,2.8,"6km SSW of Langston
2014-03-22,35.889,-97.276,2.6,"6km SSW of Langston
2014-03-22,35.896,-97.27,3.1,"5km SSW of Langston
2014-03-21,35.489,-97.258,2.6,"1km SE of Choctaw
2014-03-21,35.89,-97.282,2.6,"6km SSW of Langston
2014-03-21,36.194,-96.724,2.7,"9km NNW of Yale
2014-03-21,35.9496,-97.4062,2.8,"8km NNE of Guthrie
2014-03-21,36.0872,-97.5418,2.9,"15km NNE of Crescent
2014-03-21,36.684,-98.288,2.8,"9km SE of Cherokee
2014-03-21,36.078,-97.551,2.8,"14km NNE of Crescent
2014-03-21,35.542,-96.761,2.5,"9km NW of Prague
2014-03-21,36.7553,-97.6143,2.4,"12km ESE of Medford
2014-03-20,36.5675,-97.8247,3.3,"19km NNE of Enid
2014-03-20,35.895,-97.275,2.8,"5km SSW of Langston
2014-03-20,35.894,-97.273,2.6,"5km SSW of Langston
2014-03-20,35.891,-97.275,3.3,"6km SSW of Langston
2014-03-20,36.615,-97.6688,3.1,"22km SSE of Medford
2014-03-20,36.6204,-97.6592,2.6,"21km SSE of Medford
2014-03-19,35.953,-96.925,2.9,"10km ESE of Perkins
2014-03-19,35.949,-96.918,3.4,"10km ESE of Perkins
2014-03-19,36.061,-96.909,2.5,"14km ESE of Stillwater
2014-03-19,36.086,-97.5489,2.9,"15km NNE of Crescent
2014-03-19,36.0967,-97.5309,3.1,"17km NNE of Crescent
2014-03-19,36.6204,-97.658,3.1,"21km SSE of Medford
2014-03-18,36.644,-97.68,2.5,"18km SSE of Medford
2014-03-18,36.7043,-98.0422,2.7,"26km NE of Helena
2014-03-18,35.7941,-96.9822,2.5,"13km NW of Chandler
2014-03-18,35.891,-97.282,2.9,"6km SSW of Langston
2014-03-17,36.0799,-97.5474,3,"14km NNE of Crescent
2014-03-17,36.0821,-97.5431,2.5,"15km NNE of Crescent
2014-03-17,35.503,-97.304,2.6,"2km NE of Nicoma Park
2014-03-17,35.893,-97.275,3.1,"6km SSW of Langston
2014-03-17,35.491,-97.244,2.3,"2km ESE of Choctaw
2014-03-17,35.496,-97.307,3.4,"1km ENE of Nicoma Park
2014-03-17,36.4817,-97.7623,2.5,"14km NE of Enid
2014-03-17,36.2853,-97.1177,2.6,"15km E of Perry
2014-03-16,35.865,-97.335,2.7,"8km E of Guthrie
2014-03-15,36.632,-97.669,3,"20km SSE of Medford
2014-03-15,36.636,-97.679,2.9,"19km SSE of Medford
2014-03-15,36.637,-97.669,2.8,"19km SSE of Medford
2014-03-15,36.6313,-97.6687,2.9,"20km SSE of Medford
2014-03-15,36.631,-97.679,2.9,"20km SSE of Medford
2014-03-15,36.6377,-97.6706,2.9,"19km SSE of Medford
2014-03-14,36.161,-96.983,2.8,"8km NE of Stillwater
2014-03-14,35.547,-96.7504,2.8,"8km NW of Prague
2014-03-14,35.951,-97.395,2.6,"8km NNE of Guthrie
2014-03-14,36.0181,-97.0899,2.1,"7km NW of Perkins
2014-03-14,36.02,-97.11,3.1,"8km NW of Perkins
2014-03-13,36.8809,-97.9838,2.5,"23km WNW of Medford
2014-03-13,36.29,-97.124,2.7,"14km E of Perry
2014-03-13,35.738,-97.165,2.5,"8km NNE of Luther
2014-03-12,36.634,-97.678,2.5,"19km SSE of Medford
2014-03-12,36.284,-97.125,2.5,"14km E of Perry
2014-03-12,36.2914,-97.1196,2.5,"15km E of Perry
2014-03-12,35.8125,-96.9392,2.8,"13km NNW of Chandler
2014-03-12,36.6088,-97.6624,2.7,"22km SSE of Medford
2014-03-12,36.542,-97.061,2.7,"15km S of McCord
2014-03-12,35.494,-97.252,2.5,"1km ESE of Choctaw
2014-03-12,35.8845,-97.285,2.5,"7km SSW of Langston
2014-03-11,36.123,-96.904,2.3,"13km E of Stillwater
2014-03-11,35.767,-97.459,2.3,"12km N of Edmond
2014-03-11,35.952,-97.4,2.9,"8km NNE of Guthrie
2014-03-11,35.89,-97.282,3.4,"6km SSW of Langston
2014-03-11,36.132,-97.433,2.5,"21km SW of Perry
2014-03-10,36.122,-96.904,2.1,"13km E of Stillwater
2014-03-10,36.125,-96.907,3.5,"13km E of Stillwater
2014-03-10,35.6699,-97.4004,2.2,"7km ENE of Edmond
2014-03-10,36.449,-97.076,2.6,"25km NE of Perry
2014-03-09,35.8891,-97.2844,2.8,"6km SSW of Langston
2014-03-09,35.4919,-97.2474,3,"2km ESE of Choctaw
2014-03-09,35.495,-97.246,2.3,"2km E of Choctaw
2014-03-09,35.492,-97.252,2.8,"1km ESE of Choctaw
2014-03-09,35.495,-97.242,2.9,"2km E of Choctaw
2014-03-08,35.796,-96.976,3.3,"13km NW of Chandler
2014-03-08,35.491,-97.247,2.4,"2km ESE of Choctaw
2014-03-08,35.89,-97.281,3.1,"6km SSW of Langston
2014-03-08,35.889,-97.284,3,"6km SSW of Langston
2014-03-07,36.777,-98.332,2.5,"3km NE of Cherokee
2014-03-07,36.751,-97.575,2.9,"15km ESE of Medford
2014-03-06,36.294,-97.123,2.5,"14km E of Perry
2014-03-06,36.287,-97.126,2.5,"14km E of Perry
2014-03-06,36.8853,-97.6872,2.6,"9km NNE of Medford
2014-03-06,35.5954,-97.3883,2.6,"8km N of Spencer
2014-03-05,35.593,-97.381,2.7,"7km N of Spencer
2014-03-05,35.593,-97.383,3.3,"7km N of Spencer
2014-03-05,36.151,-96.963,2.1,"9km ENE of Stillwater
2014-03-05,36.151,-96.969,2.4,"8km ENE of Stillwater
2014-03-04,35.798,-96.983,2.9,"14km NW of Chandler
2014-03-04,36.119,-96.903,2.2,"13km E of Stillwater
2014-03-04,35.799,-96.985,2.6,"14km NW of Chandler
2014-03-04,35.954,-97.396,2.5,"8km NNE of Guthrie
2014-03-04,36.17,-96.974,2.3,"9km NE of Stillwater
2014-03-03,36.291,-97.132,2.8,"14km E of Perry
2014-03-03,35.78,-97.471,2.8,"11km SSW of Guthrie
2014-03-03,35.781,-97.471,2.4,"11km SSW of Guthrie
2014-03-03,36.167,-96.982,2.8,"8km NE of Stillwater
2014-03-02,35.9557,-96.9185,2.7,"10km E of Perkins
